cd_mun,nm_mun,qtd_criancas,qtd_criancas_pct,qtd_adolescentes,qtd_adolescentes_pct,qtd_idosos,qtd_idosos_pct,renda_media_responsavel
2915304,Itagimirim,929,0.14636836300614464,931,0.14668347250669608,1138,0.1792973058137703,1539.6
2915353,Itaguaçu da Bahia,1923,0.15620177077410446,2073,0.16838599626350417,1804,0.146535618552514,1084.45
2915403,Itaju do Colônia,898,0.14874937883054498,1116,0.18486002981613384,968,0.16034454199105516,1406.6
2915502,Itajuípe,2326,0.12384857036366541,2762,0.1470635216442149,3560,0.18955327192375274,1494.95
2915601,Itamaraju,8517,0.14289069708917038,9219,0.15466823253082795,9241,0.15503732908313062,1748.48
2915700,Itamari,897,0.12721599773081832,1153,0.16352290455254573,1317,0.18678201673521486,1276.18
2915809,Itambé,3142,0.12880216446667214,3592,0.14724932360416496,3784,0.15512011150282856,1337.46
2915908,Itanagra,889,0.1503212715590125,981,0.16587757862698682,799,0.13510314507947244,1146.96
2916005,Itanhém,2020,0.1134003256048953,2385,0.13389097849884915,3907,0.21933419412788413,1612.18
2916104,Itaparica,2425,0.12254282682298247,2742,0.13856182727778057,3446,0.17413714689979282,1400.75
2916203,Itapé,1306,0.12629339522289915,1584,0.15317667536988686,1704,0.16478096895851466,1436.98
2916302,Itapebi,1316,0.1434488772618269,1550,0.16895574449531284,1536,0.16742969260954874,1416.84
2916401,Itapetinga,8683,0.13176624125529235,10053,0.15255626204531314,10322,0.15663839021503256,1754.32
2916500,Itapicuru,4418,0.13946147290002842,5276,0.16654566116354683,4617,0.14574323684459736,1064.42
2916609,Itapitanga,1552,0.1509874501410643,1440,0.14009144858449266,1628,0.15838116548302364,1397.63
2916708,Itaquara,941,0.11541763767938182,1074,0.13173065129400222,1388,0.17024408193303078,1123.49
2916807,Itarantim,2224,0.13042458362655407,2477,0.1452615528970209,3046,0.17863007271874268,1444.25
2916856,Itatim,2292,0.1456440236385588,2560,0.16267395310414945,2075,0.1318548643324649,1231
2916906,Itiruçu,1359,0.12355668697154287,1587,0.1442858441676516,2150,0.19547231566506046,1325.38
2917003,Itiúba,4636,0.13686820973075106,5682,0.1677491733585262,5432,0.1603684459140293,1259.23
2917102,Itororó,2081,0.12523319492086418,2533,0.15243425407714992,3341,0.20105915628573148,1468.62
2917201,Ituaçu,2161,0.12063190800491236,2573,0.14363067991515016,3181,0.17757061516132633,1284.57
2917300,Ituberá,2902,0.13249931513103827,3625,0.1655099990868414,3428,0.15651538672267373,1399.08
2917334,Iuiu,1475,0.13266774599748157,1778,0.15992084907357437,1525,0.13716495772620976,1171.34
2917359,Jaborandi,1287,0.13876010781671158,1253,0.1350943396226415,1618,0.17444743935309973,1228.64
2917409,Jacaraci,1425,0.0987115544472153,1745,0.12087835965641452,3198,0.22152950955943473,1414.43
2917508,Jacobina,11330,0.13718367841142995,12203,0.1477539653711103,12281,0.1486983896355491,1942.67
2917607,Jaguaquara,6232,0.13558437037681664,7538,0.16399791140892872,7286,0.15851535984683665,1426.87
2917706,Jaguarari,4305,0.13163929914686726,4661,0.1425251505978045,5341,0.16331834999847109,1625.14
2917805,Jaguaripe,2179,0.12339317062121298,2831,0.16031485361572004,2585,0.14638427997055325,1074.63
2917904,Jandaíra,1427,0.1536887452880991,1703,0.18341410877759828,1197,0.12891760904684976,1156.66
2918001,Jequié,21327,0.13429001404167165,22837,0.14379805179676727,25104,0.1580727018569009,1826.1
2918100,Jeremoabo,4973,0.13216924467123797,6128,0.1628661032264923,5974,0.1587731887524584,1324.95
2918209,Jiquiriçá,1650,0.12106537530266344,2039,0.14960745469220046,2174,0.1595128035806002,1235.15
2918308,Jitaúna,1882,0.13110414489724834,2152,0.14991292232671544,2603,0.18133054684778824,1238.3
2918357,João Dourado,3781,0.15212843003138327,4454,0.17920656634746923,3258,0.1310855395509777,1284.13
2918407,Juazeiro,38195,0.16060398366838924,38082,0.16012883639375833,26109,0.10978424949857246,1900.94
2918456,Jucuruçu,1332,0.13795960642154323,1469,0.15214914552045572,1675,0.17348524080787156,1386.16
2918506,Jussara,2223,0.1359300476947536,2724,0.16656475480004893,2618,0.1600831600831601,1161.11
2918555,Jussari,737,0.12516983695652173,897,0.15234375,1110,0.18851902173913043,1361.89
2918605,Jussiape,679,0.09201788860279171,855,0.1158693589917333,1755,0.237837105298821,1243.93
2918704,Lafaiete Coutinho,470,0.11533742331288344,536,0.13153374233128834,907,0.22257668711656442,1262.42
2918753,Lagoa Real,1689,0.11974477135767458,1928,0.13668911733427863,2313,0.1639844026940801,1162.09
2918803,Laje,2581,0.12260117803534105,3266,0.1551396541896257,3066,0.14563936918107542,1147.56
2918902,Lajedão,493,0.1282184655396619,559,0.14538361508452535,770,0.20026007802340703,1660.06
2919009,Lajedinho,446,0.12645307626878366,556,0.15764105472072584,608,0.1723844627161894,1089.57
2919058,Lajedo do Tabocal,848,0.11315719242060315,1156,0.15425673872431278,1332,0.177742193755004,1163.76
2919108,Lamarão,1126,0.12490293954520244,1453,0.16117581808097614,1573,0.17448696616749862,1134.32
2919157,Lapão,3605,0.1400761579110973,4106,0.15954305253341622,3887,0.15103357165060616,1234.75
2919207,Lauro de Freitas,26420,0.1299359172974116,27111,0.13333431695117812,25457,0.12519979737472398,3669.43
2919306,Lençóis,1576,0.14627807685167998,1782,0.16539818080564322,1234,0.11453499164655652,1633.96
2919405,Licínio de Almeida,1346,0.1137400709819165,1651,0.13951326685820517,2524,0.21328375866148386,1375.51
2919504,Livramento de Nossa Senhora,5346,0.12176844406988133,5876,0.13384051203790173,7386,0.16823451700339384,1518.47
2919553,Luís Eduardo Magalhães,18870,0.17486956602322326,17784,0.16480553058595668,5533,0.05127468515137755,3105.36
2919603,Macajuba,1310,0.12531088578534533,1913,0.18299215611249284,1900,0.18174861297111153,1096.96
2919702,Macarani,2331,0.10792166303995555,3084,0.1427843881661188,3153,0.14597898050835686,1309.96
2919801,Macaúbas,5160,0.12327098115100696,6240,0.14907188418261305,7637,0.18244583004849615,1457.96
2919900,Macururé,1072,0.14773980154355015,1243,0.17130650496141125,1192,0.16427783902976847,1092.44
2919926,Madre de Deus,2318,0.12527021184608733,2569,0.13883484651967143,2608,0.14094249891915261,1772.46
2919959,Maetinga,783,0.11229026244084325,967,0.13867775706295712,1546,0.22171231894450022,1245.07
2920007,Maiquinique,1097,0.12564425609895774,1417,0.16229526972855343,1431,0.16389875157484823,1453.28
2920106,Mairi,2027,0.11468824261627249,2504,0.14167703971936177,3490,0.19746520312323187,1193.4
